metro_name,CBSA,total_units_2010,highrise_units_2010,total_units_2024,highrise_units_2024,highrise_growth,highrise_pct_growth,lat,lon
"Peru, IN Micro Area",37940,15591.0,171.0,14952,298,127.0,74.3,40.769286211776034,-86.04505430637842
"Quincy, IL-MO Micro Area",39500,34471.0,848.0,34622,974,126.0,14.9,40.028235363054655,-91.38531064557127
"Watertown, SD Micro Area",47980,15034.0,562.0,13533,687,125.0,22.2,44.97762996821929,-97.18860022154142
"Moultrie, GA Micro Area",34220,18204.0,123.0,19401,247,124.0,100.8,31.18842132228236,-83.76852565640614
"Dublin, GA Micro Area",20140,25200.0,155.0,25625,279,124.0,80.0,32.52827933015995,-82.85096546061193
"Raymondville, TX Micro Area",39700,7043.0,64.0,6885,188,124.0,193.8,26.469797549101155,-97.6596308126929
"Olean, NY Micro Area",36460,41032.0,662.0,40356,782,120.0,18.1,42.24833827302902,-78.67869490903529
"Talladega-Sylacauga, AL Micro Area",45180,36700.0,371.0,44605,490,119.0,32.1,33.17264706222859,-86.20411926933193
"Gallup, NM Micro Area",23700,25940.0,57.0,25304,175,118.0,207.0,35.58094131142784,-108.2626433622462
"Springfield, IL Metro Area",44100,95268.0,4154.0,98982,4271,117.0,2.8,39.829247110658024,-89.69649518867838
"Alma, MI Micro Area",10940,16321.0,349.0,16081,465,116.0,33.2,43.292718122640196,-84.60495630811945
"Crescent City, CA Micro Area",18860,11119.0,455.0,11230,569,114.0,25.1,41.74283917863416,-123.89702212052782
"Logansport, IN Micro Area",30900,16615.0,232.0,16388,346,114.0,49.1,40.761488844707216,-86.34588140617068
"Cumberland, MD-WV Micro Area",19060,46230.0,1579.0,45229,1691,112.0,7.1,39.53197560265562,-78.80420293292535
"Toccoa, GA Micro Area",45740,12535.0,96.0,12354,206,110.0,114.6,34.554118109453285,-83.29291166332595
"Montrose, CO Micro Area",33940,17828.0,416.0,19758,525,109.0,26.2,38.403129948092555,-108.26950504551729
"Pontiac, IL Micro Area",38700,15836.0,293.0,15930,402,109.0,37.2,40.89141771648124,-88.5576325623512
"Pine Bluff, AR Micro Area",38220,42358.0,932.0,34266,1040,108.0,11.6,34.12231433467209,-92.0313523800342
"Athens, TN Micro Area",11940,23190.0,216.0,30412,324,108.0,50.0,35.45408160469483,-84.6825368932873
"Tiffin, OH Micro Area",45660,24216.0,566.0,23982,674,108.0,19.1,41.12374410162521,-83.12759010633225
"North Wilkesboro, NC Micro Area",35900,32605.0,383.0,31836,490,107.0,27.9,36.2058960549501,-81.16331774998838
"Arcadia, FL Micro Area",11580,14486.0,72.0,15872,179,107.0,148.6,27.186402392315877,-81.80947093189539
"Guayama, PR Metro Area",25020,33964.0,316.0,35624,423,107.0,33.9,18.013361916471343,-66.08266966574476
"Worthington, MN Micro Area",49380,8536.0,515.0,8396,620,105.0,20.4,43.67415005176271,-95.75351186701654
"Mitchell, SD Micro Area",33580,10049.0,579.0,12038,683,104.0,18.0,43.81285514631784,-98.01571796201165
"North Platte, NE Micro Area",35820,17180.0,775.0,16954,878,103.0,13.3,41.14162640559626,-100.69774873869429
"Tifton, GA Micro Area",45700,16372.0,288.0,21678,391,103.0,35.8,31.591343422699325,-83.57679746918787
"Great Bend, KS Micro Area",24460,12769.0,227.0,12383,330,103.0,45.4,38.47884480646753,-98.75633413074307
"Cañon City, CO Micro Area",15860,18724.0,505.0,20605,606,101.0,20.0,38.47327864673195,-105.43953154737821
"Bellefontaine, OH Micro Area",13340,23130.0,206.0,23866,306,100.0,48.5,40.388480163008374,-83.76559958555183
"Wilson, NC Micro Area",48980,34942.0,636.0,37053,736,100.0,15.7,35.705234138118236,-77.9185776196413
"Monticello, IN Micro Area",33900,0.0,0.0,12961,100,100.0,,40.74975815224424,-86.86541335425514
"Bedford, IN Micro Area",13260,21131.0,390.0,20545,489,99.0,25.4,38.8409976183514,-86.4832038766222
"Bennington, VT Micro Area",13540,20802.0,308.0,20903,406,98.0,31.8,43.0351613748405,-73.09299864641874
"Marshall, MO Micro Area",32180,10169.0,132.0,9813,229,97.0,73.5,39.13672693935627,-93.20193387334437
"Harrison, AR Micro Area",25460,21292.0,167.0,21558,262,95.0,56.9,36.084366029012585,-93.16450053986172
"Auburn, IN Micro Area",12140,17467.0,504.0,18384,599,95.0,18.8,41.39756536152983,-84.99906461010646
"Lock Haven, PA Micro Area",30820,19042.0,467.0,18617,561,94.0,20.1,41.23409620124353,-77.63827027991691
"Coco, PR Micro Area",17640,0.0,0.0,13859,93,93.0,,18.007431247780136,-66.25550202029375
"Newberry, SC Micro Area",35140,17790.0,117.0,18558,209,92.0,78.6,34.28986812387635,-81.60004638046595
"Lawrenceburg, TN Micro Area",29980,18015.0,213.0,18730,305,92.0,43.2,35.217449923382766,-87.39521058513274
"Beeville, TX Micro Area",13300,10746.0,120.0,10650,211,91.0,75.8,28.41709890534666,-97.74056677780898
"New Ulm, MN Micro Area",35580,11515.0,650.0,11827,740,90.0,13.8,44.24214834269848,-94.72770159401972
"McMinnville, TN Micro Area",32660,17677.0,99.0,18537,189,90.0,90.9,35.678770047134634,-85.77890088794719
"Gainesville, TX Micro Area",23620,16406.0,275.0,17944,364,89.0,32.4,33.63934114656394,-97.21250668028202
"Crawfordsville, IN Micro Area",18820,16517.0,460.0,16585,548,88.0,19.1,40.04029874866152,-86.8933421371573
"DuBois, PA Micro Area",20180,38726.0,742.0,38198,829,87.0,11.7,41.00002967757402,-78.47446031947374
"Tullahoma-Manchester, TN Micro Area",46100,44445.0,414.0,28484,501,87.0,21.0,35.443790200680084,-86.14056620586518
"Fairmont, WV Micro Area",21900,26584.0,414.0,26276,500,86.0,20.8,39.50969865420408,-80.2423997257916
"Gallipolis, OH Micro Area",23680,0.0,0.0,13464,86,86.0,,38.82461148188148,-82.31688986542339
"La Grande, OR Micro Area",29260,11330.0,504.0,11829,590,86.0,17.1,45.30996962221723,-118.00915300349028
"Atchison, KS Micro Area",11860,6971.0,301.0,6817,385,84.0,27.9,39.53154794950916,-95.31392237981173
"Marion, IN Micro Area",31980,30702.0,1298.0,29907,1381,83.0,6.4,40.51587802885098,-85.65473212190724
"Huntingdon, PA Micro Area",26500,22275.0,323.0,20984,404,81.0,25.1,40.4164282530487,-77.98132278867408
"Oneonta, NY Micro Area",36580,30725.0,488.0,30057,569,81.0,16.6,42.63398332511294,-75.03289033363977
"Magnolia, AR Micro Area",31620,11658.0,176.0,11030,256,80.0,45.5,33.21434895379601,-93.22755267009342
"Malvern, AR Micro Area",31680,0.0,0.0,14302,80,80.0,,34.31786267571825,-92.94524163135588
"Douglas, GA Micro Area",20060,20477.0,158.0,21025,237,79.0,50.0,31.45780112947382,-82.86036062598826
"Hays, KS Micro Area",25700,12752.0,534.0,13287,610,76.0,14.2,38.91459941710558,-99.31753080061287
"Fredericksburg, TX Micro Area",23240,12287.0,144.0,14373,219,75.0,52.1,30.318308613503145,-98.94647383019979
"Cullman, AL Micro Area",18980,36889.0,549.0,39871,624,75.0,13.7,34.13212094454689,-86.86782324428873
"Findlay, OH Micro Area",22300,32841.0,1250.0,33920,1325,75.0,6.0,41.001882775141645,-83.66649966539534
"Rocky Mount, NC Metro Area",40580,66660.0,771.0,67078,845,74.0,9.6,35.941467442187665,-77.79855023717529
"Clewiston, FL Micro Area",17500,14268.0,95.0,22839,169,74.0,77.9,26.736262136495565,-81.1762504290632
"Glasgow, KY Micro Area",23980,23500.0,182.0,25018,254,72.0,39.6,36.97456900613318,-85.82154641986638
"Los Alamos, NM Micro Area",31060,8397.0,611.0,8713,683,72.0,11.8,35.868666617101965,-106.30651692507384
"Mayfield, KY Micro Area",32460,16787.0,66.0,16425,137,71.0,107.6,36.722867626020935,-88.65112750413431
"Wilmington, OH Micro Area",48940,18090.0,354.0,18039,425,71.0,20.1,39.414919270367534,-83.80846422075503
"Marshall, MN Micro Area",32140,11046.0,985.0,11269,1056,71.0,7.2,44.4132775218178,-95.83907873562622
"Lebanon, MO Micro Area",30060,15680.0,374.0,16012,443,69.0,18.4,37.65814448523172,-92.59025960309548
"Escanaba, MI Micro Area",21540,20198.0,696.0,19845,763,67.0,9.6,45.91734041290716,-86.92345687613263
"Vineyard Haven, MA Micro Area",47240,0.0,0.0,17822,67,67.0,,41.39842791972552,-70.65513536596323
"Sebring, FL Metro Area",42700,54837.0,1187.0,58635,1254,67.0,5.6,27.343194132032696,-81.34122453583466
"Coshocton, OH Micro Area",18740,16570.0,376.0,16308,442,66.0,17.6,40.30171290394225,-81.9201038572559
"Wooster, OH Micro Area",49300,45696.0,715.0,46954,781,66.0,9.2,40.82880135403781,-81.88793214452541
"Hood River, OR Micro Area",26220,9108.0,388.0,10290,454,66.0,17.0,45.51892086820142,-121.65109197748524
"Mexico, MO Micro Area",33020,10907.0,26.0,10561,91,65.0,250.0,39.215803463499526,-91.84163146321609
"Pottsville, PA Micro Area",39060,69271.0,1968.0,67295,2032,64.0,3.3,40.70567400150538,-76.21640677633592
"Wabash, IN Micro Area",47340,14238.0,137.0,14097,201,64.0,46.7,40.84559121703944,-85.79396135487244
"Jacksonville, TX Micro Area",27380,20619.0,289.0,21053,353,64.0,22.1,31.8369801433145,-95.16524978820534
"Columbus, MS Micro Area",18060,26310.0,568.0,31896,632,64.0,11.3,33.26441440308619,-88.51627959268794
"Altus, OK Micro Area",11060,12121.0,335.0,12072,397,62.0,18.5,34.58809870503354,-99.41580921455048
"Rochelle, IL Micro Area",40300,22386.0,539.0,22682,601,62.0,11.5,42.04265850352146,-89.32066768092857
"Maryville, MO Micro Area",32340,9504.0,243.0,9536,304,61.0,25.1,40.36073526696214,-94.883113848285
"Coos Bay-North Bend, OR Micro Area",18300,30487.0,911.0,31905,972,61.0,6.7,43.17296055329423,-124.05940576332091
"Burley, ID Micro Area",15420,15954.0,171.0,17740,230,59.0,34.5,42.41376825258613,-113.60886261549042
"Twin Falls, ID Metro Area",46300,38237.0,846.0,45239,904,58.0,6.9,42.43519626911655,-114.57131066835177
"Selinsgrove, PA Micro Area",42780,15891.0,295.0,16053,353,58.0,19.7,40.76998329890952,-77.0702811864397
"Ponca City, OK Micro Area",38620,21759.0,488.0,20913,546,58.0,11.9,36.818061499754215,-97.1443872794738
"Greenville, OH Micro Area",24820,22654.0,296.0,22651,354,58.0,19.6,40.13311404420183,-84.61951496082665
"Bogalusa, LA Micro Area",14220,20632.0,217.0,21439,271,54.0,24.9,30.853509109296343,-90.04014889468313
"Garden City, KS Micro Area",23780,13426.0,318.0,14355,371,53.0,16.7,38.04413257988003,-100.73798352992584
"Albertville, AL Micro Area",10700,39839.0,275.0,41762,328,53.0,19.3,34.36732726706402,-86.30620433845137
"Brookhaven, MS Micro Area",15020,15101.0,78.0,15966,131,53.0,67.9,31.53232660860504,-90.45385691191139
"Price, UT Micro Area",39220,9442.0,97.0,9669,149,52.0,53.6,39.648495866243984,-110.58930622979118
"McAlester, OK Micro Area",32540,22504.0,328.0,22252,379,51.0,15.5,34.92368422790661,-95.74861795134744
"Miami, OK Micro Area",33060,14253.0,494.0,13701,544,50.0,10.1,36.83560519227613,-94.8106006937325
"Red Wing, MN Micro Area",39860,20240.0,1272.0,21167,1321,49.0,3.9,44.40954870338593,-92.72308236433265
"Scottsbluff, NE Micro Area",42420,16804.0,590.0,16863,638,48.0,8.1,41.69823928109371,-103.709591959274
"Effingham, IL Micro Area",20820,14527.0,289.0,20139,336,47.0,16.3,39.149315372588056,-88.44352173103591
"Plainview, TX Micro Area",38380,13606.0,358.0,15984,405,47.0,13.1,34.07166612660398,-101.56658520292899
"Albert Lea, MN Micro Area",10660,14218.0,688.0,14116,733,45.0,6.5,43.673776940772655,-93.34885463010424
"Uvalde, TX Micro Area",46620,10735.0,21.0,10095,65,44.0,209.5,29.357430160730885,-99.76227330252276
"Picayune, MS Micro Area",38100,23692.0,108.0,25442,152,44.0,40.7,30.768765579262087,-89.58961894330824
"Shelby-Kings Mountain, NC Micro Area",43140,43199.0,556.0,44304,599,43.0,7.7,35.333575727703945,-81.55540669236001
"Thomaston, GA Micro Area",45580,12188.0,89.0,12434,132,43.0,48.3,32.881013867145434,-84.29947018704407
"Huron, SD Micro Area",26700,8288.0,433.0,8474,475,42.0,9.7,44.41467908242271,-98.27797807640995
"St. Marys, PA Micro Area",41260,17715.0,377.0,16880,419,42.0,11.1,41.42512065856704,-78.64875380593027
"Norwalk, OH Micro Area",35940,25054.0,311.0,25597,353,42.0,13.5,41.146407036407886,-82.59790742706858
"Warren, PA Micro Area",47620,23585.0,524.0,21629,563,39.0,7.4,41.81441281865921,-79.27392526152374
"Moberly, MO Micro Area",33620,10766.0,163.0,10862,202,39.0,23.9,39.44012102551407,-92.49713596744611
"Marion, OH Micro Area",32020,27702.0,859.0,27358,898,39.0,4.5,40.58729677783635,-83.16083150769417
"Thomasville, GA Micro Area",45620,19930.0,211.0,32775,249,38.0,18.0,30.86871975226784,-84.06227195082516
"Lewisburg, TN Micro Area",30280,12921.0,169.0,14749,207,38.0,22.5,35.46884517838778,-86.7653866387813
"Vidalia, GA Micro Area",47080,16000.0,93.0,15897,128,35.0,37.6,32.14197569091822,-82.41222919541788
"Andrews, TX Micro Area",11380,5707.0,112.0,7153,146,34.0,30.4,32.30508128572529,-102.63766744593048
"Borger, TX Micro Area",14420,10711.0,56.0,10170,88,32.0,57.1,35.84009956628181,-101.35468404801753
"Selma, AL Micro Area",42820,20345.0,199.0,18936,230,31.0,15.6,32.32568225327212,-87.10643980386895
"Summerville, GA Micro Area",44900,10991.0,158.0,10882,188,30.0,19.0,34.47500796562206,-85.34529007364306
"Del Rio, TX Micro Area",19620,18303.0,478.0,18711,507,29.0,6.1,29.892486818180206,-101.15162470844608
"Richmond-Berea, KY Micro Area",40080,42063.0,947.0,54711,975,28.0,3.0,37.60206091829204,-84.21112864682301
"Bonham, TX Micro Area",14300,14039.0,134.0,14814,161,27.0,20.1,33.59390818007237,-96.1068452339271
"Marinette, WI-MI Micro Area",31940,43995.0,1055.0,42746,1081,26.0,2.5,45.466055946789304,-87.83163389775562
"Palatka, FL Micro Area",37260,37148.0,392.0,37065,417,25.0,6.4,29.608620089827976,-81.74406956361865
"Morristown, TN Metro Area",34100,60532.0,737.0,53727,762,25.0,3.4,36.11042602666949,-83.38190115968443
"Franklin, KY Micro Area",23190,0.0,0.0,8627,24,24.0,,36.741820157134555,-86.58272324397659
"Laurinburg, NC Micro Area",29900,15206.0,235.0,14441,259,24.0,10.2,34.84083602920882,-79.48017019814058
"Ardmore, OK Micro Area",11620,25608.0,280.0,21624,303,23.0,8.2,34.25095154318931,-97.28569910527347
"Safford, AZ Micro Area",40940,16811.0,281.0,14122,303,22.0,7.8,32.932227956977364,-109.88715646578585
"Batavia, NY Micro Area",12860,25409.0,824.0,26176,846,22.0,2.7,43.00124851541197,-78.19398597288628
"Cedartown, GA Micro Area",16340,16822.0,230.0,17368,252,22.0,9.6,34.0020638238552,-85.1878387639577
"Eufaula, AL-GA Micro Area",21640,13896.0,102.0,13529,122,20.0,19.6,31.86942316526553,-85.33682849492251
"El Dorado, AR Micro Area",20980,19924.0,100.0,18649,119,19.0,19.0,33.17143407771841,-92.59722018483643
"Storm Lake, IA Micro Area",44740,8233.0,279.0,8293,297,18.0,6.5,42.73540105563475,-95.15079418487336
"Liberal, KS Micro Area",30580,8051.0,166.0,8308,183,17.0,10.2,37.19328738486359,-100.85063279702506
"Kirksville, MO Micro Area",28860,13640.0,310.0,13288,326,16.0,5.2,40.288675956207406,-92.57279233153916
"Iron Mountain, MI-WI Micro Area",27020,18643.0,339.0,18589,355,16.0,4.7,45.9462568201174,-88.07700144093666
"Arkadelphia, AR Micro Area",11660,10430.0,267.0,10029,281,14.0,5.2,34.0508335704329,-93.176222107036
"Taylorville, IL Micro Area",45380,15532.0,422.0,15184,436,14.0,3.3,39.545579896439094,-89.27712365887906
"Roanoke Rapids, NC Micro Area",40260,37380.0,404.0,35513,418,14.0,3.5,36.32672577378126,-77.54183889335395
"Pierre, SD Micro Area",38180,8870.0,598.0,9539,611,13.0,2.2,44.40483121312737,-100.4796502988264
"Guymon, OK Micro Area",25100,8230.0,92.0,8461,104,12.0,13.0,36.74810688034906,-101.49022214067466
"Mountain Home, ID Micro Area",34300,11969.0,50.0,12271,60,10.0,20.0,43.352379834161425,-115.46976059370878
"Farmington, NM Metro Area",22140,48412.0,416.0,48255,425,9.0,2.2,36.50824244785853,-108.32064361894402
"Canton, IL Micro Area",15900,16250.0,357.0,15848,365,8.0,2.2,40.47251490091016,-90.20749425692945
"DeRidder, LA Micro Area",19760,14944.0,76.0,16126,84,8.0,10.5,30.648524993272137,-93.34347045389583
"Sulphur Springs, TX Micro Area",44860,14945.0,400.0,15882,408,8.0,2.0,33.149527549382306,-95.56401579175416
"Decatur, IN Micro Area",19540,12965.0,309.0,13308,316,7.0,2.3,40.74541829727439,-84.93662587185243
"Henderson, NC Micro Area",25780,19888.0,305.0,19489,312,7.0,2.3,36.36500989464037,-78.40798836848722
"Dumas, TX Micro Area",20300,7828.0,92.0,8277,99,7.0,7.6,35.837766622480615,-101.89301283750163
"Payson, AZ Micro Area",37740,32142.0,303.0,32742,309,6.0,2.0,33.79962519892663,-110.81033638530391
"Stephenville, TX Micro Area",44500,16507.0,747.0,18694,753,6.0,0.8,32.236156110713026,-98.21774276812172
"Alice, TX Micro Area",10860,15993.0,227.0,20113,232,5.0,2.2,27.3669990031055,-98.15727498338654
"New Castle, IN Micro Area",35220,21375.0,633.0,20996,637,4.0,0.6,39.93104385434944,-85.39650442825456
"Big Rapids, MI Micro Area",13660,21184.0,271.0,21139,274,3.0,1.1,43.64067899899,-85.32453648395456
"Celina, OH Micro Area",16380,17432.0,233.0,18103,236,3.0,1.3,40.53986246003828,-84.62934521247352
"Sayre, PA Micro Area",42380,29904.0,800.0,29486,803,3.0,0.4,41.788669391700154,-76.51545245885701
"Hereford, TX Micro Area",25820,7057.0,120.0,6984,122,2.0,1.7,34.96558543732304,-102.6051893158739
"Cadillac, MI Micro Area",15620,25765.0,385.0,25265,387,2.0,0.5,44.33819825385686,-85.33679938551498
"Las Vegas, NM Micro Area",29780,15405.0,107.0,17790,108,1.0,0.9,35.63480010443104,-104.85293509754152
"Oil City, PA Micro Area",36340,27464.0,491.0,26244,492,1.0,0.2,41.40059761520283,-79.75791445531613
"Lares, PR Micro Area",29720,0.0,0.0,12921,0,0.0,,18.269560082633006,-66.86710742313893
"Vernon, TX Micro Area",46900,6329.0,118.0,5845,117,-1.0,-0.8,34.080809549838534,-99.24090379938346
"Paragould, AR Micro Area",37500,17685.0,182.0,19603,181,-1.0,-0.5,36.117671606455474,-90.5590628708388
"Enterprise, AL Micro Area",21460,44536.0,281.0,24656,279,-2.0,-0.7,31.402420045731485,-85.98811549387855
"Evanston, WY-UT Micro Area",21740,8558.0,241.0,12274,238,-3.0,-1.2,41.40567535751875,-110.78517481028648
"Fort Wayne, IN Metro Area",23060,177293.0,10856.0,193389,10851,-5.0,-0.0,41.00503775173188,-85.21673515667929
"Seneca Falls, NY Micro Area",42900,15810.0,327.0,16194,322,-5.0,-1.5,42.7804477581639,-76.82331406176887
"Ada, OK Micro Area",10220,16426.0,310.0,17531,305,-5.0,-1.6,34.72826722163689,-96.6839940797923
"Woodward, OK Micro Area",49260,8760.0,131.0,9391,126,-5.0,-3.8,36.42272561359521,-99.26501806626445
"Jesup, GA Micro Area",27700,12008.0,90.0,12704,84,-6.0,-6.7,31.55136903271092,-81.91682259055318
"Barre, VT Micro Area",12740,29691.0,1049.0,31004,1043,-6.0,-0.6,44.273197828830455,-72.61537312854348
"Dyersburg, TN Micro Area",20540,16732.0,205.0,16311,198,-7.0,-3.4,36.059505337971096,-89.4133094822904
"Clarksdale, MS Micro Area",17260,10950.0,213.0,10189,204,-9.0,-4.2,34.229728732120954,-90.60181261729649
"Somerset, PA Micro Area",43740,38070.0,633.0,37863,622,-11.0,-1.7,39.97233603576523,-79.02850710641327
"Utuado, PR Micro Area",46580,12427.0,31.0,13624,18,-13.0,-41.9,18.271321611910835,-66.70193411697134
"Ottawa, IL Micro Area",36837,68523.0,1589.0,68563,1576,-13.0,-0.8,41.35716615910457,-89.17322957857846
"Cleveland, MS Micro Area",17380,14278.0,335.0,13673,321,-14.0,-4.2,33.79684509352881,-90.8807043634339
"Salina, KS Micro Area",41460,26733.0,906.0,26850,891,-15.0,-1.7,38.95815069283081,-97.64996438516938
"Auburn, NY Micro Area",12180,36469.0,1425.0,36829,1408,-17.0,-1.2,42.91672703729612,-76.55407008274707
"Washington, NC Micro Area",47820,24397.0,196.0,24526,179,-17.0,-8.7,35.49391171120304,-76.85889225991157
"Anniston-Oxford, AL Metro Area",11500,53094.0,1232.0,53361,1214,-18.0,-1.5,33.771463011180096,-85.82586565487739
"Oak Harbor, WA Micro Area",36020,39225.0,815.0,42744,796,-19.0,-2.3,48.16340549221201,-122.54911679566257
"Fort Morgan, CO Micro Area",22820,11434.0,290.0,11804,271,-19.0,-6.6,40.262778916008614,-103.8100906905073
"Rutland, VT Micro Area",40860,33619.0,1206.0,33991,1186,-20.0,-1.7,43.579992144062096,-73.03664013173803
"Kendallville, IN Micro Area",28340,19997.0,559.0,20297,539,-20.0,-3.6,41.398590286893025,-85.41752917248297
"Scottsboro, AL Micro Area",42460,24778.0,90.0,24914,69,-21.0,-23.3,34.77962782704283,-85.99960540472797
"Vermillion, SD Micro Area",46820,5617.0,288.0,6262,266,-22.0,-7.6,42.91452919729213,-96.97564168086527
"Rock Springs, WY Micro Area",40540,18007.0,645.0,19289,623,-22.0,-3.4,41.659649624304635,-108.88028688103063
"Española, NM Micro Area",21580,19385.0,105.0,19862,82,-23.0,-21.9,36.50956670606111,-106.69207407666354
"Sweetwater, TX Micro Area",45020,7155.0,135.0,7104,109,-26.0,-19.3,32.30364863262013,-100.40618556804905
"Bainbridge, GA Micro Area",12460,12334.0,63.0,13215,35,-28.0,-44.4,30.878199432894462,-84.57910007333415
"Pampa, TX Micro Area",37420,10659.0,155.0,10345,127,-28.0,-18.1,35.61910436180956,-100.81296624022384
"Van Wert, OH Micro Area",46780,12651.0,137.0,12573,107,-30.0,-21.9,40.85542557955694,-84.58610637364379
"McPherson, KS Micro Area",32700,12638.0,117.0,13176,85,-32.0,-27.4,38.391590135355635,-97.64783618669298
"Natchez, MS-LA Micro Area",35020,24140.0,349.0,27358,315,-34.0,-9.7,31.54214721318279,-91.38066241363828
"Duncan, OK Micro Area",20340,20559.0,376.0,20323,342,-34.0,-9.0,34.48565787227026,-97.85146490508379
"Sidney, OH Micro Area",43380,20049.0,267.0,20149,233,-34.0,-12.7,40.331493166489075,-84.20461902288041
"Meadville, PA Micro Area",32740,44488.0,921.0,42157,887,-34.0,-3.7,41.68485079782046,-80.10628274145807
"Mineral Wells, TX Micro Area",33420,15056.0,401.0,15206,365,-36.0,-9.0,32.753160661779205,-98.31303689368892
"Union City, TN Micro Area",46460,18148.0,172.0,14326,135,-37.0,-21.5,36.35837383157297,-89.14848550233681
"Americus, GA Micro Area",11140,16161.0,221.0,15400,182,-39.0,-17.6,32.096909658690805,-84.22648954898139
"Lewisburg, PA Micro Area",30260,16661.0,385.0,16205,346,-39.0,-10.1,40.96230355946705,-77.06253570023969
"Mount Vernon, IL Micro Area",34500,21211.0,544.0,16629,504,-40.0,-7.4,38.30042386987187,-88.92398294528533
"Manitowoc, WI Micro Area",31820,37082.0,1349.0,38084,1309,-40.0,-3.0,44.119787552893655,-87.8098026724834
"Silver City, NM Micro Area",43500,14628.0,150.0,14755,107,-43.0,-28.7,32.738131461598904,-108.38213515086719
"Plymouth, IN Micro Area",38500,19685.0,375.0,20111,332,-43.0,-11.5,41.32471802787325,-86.26174287350956
"Angola, IN Micro Area",11420,19280.0,522.0,19181,471,-51.0,-9.8,41.64390432004621,-85.00089432962895
"Marshalltown, IA Micro Area",32260,16845.0,688.0,16937,637,-51.0,-7.4,42.035788641348084,-92.99891677776937
"Beatrice, NE Micro Area",13100,10456.0,327.0,10399,273,-54.0,-16.5,40.261575038863036,-96.68941247531025
"State College, PA Metro Area",44300,61899.0,7248.0,66475,7194,-54.0,-0.7,40.918694991110854,-77.82017947744406
"Blytheville, AR Micro Area",14180,20854.0,101.0,19133,47,-54.0,-53.5,35.76222398804265,-90.05248253002708
"Amsterdam, NY Micro Area",11220,23020.0,711.0,22981,656,-55.0,-7.7,42.90242346955828,-74.43979334394456
"Klamath Falls, OR Micro Area",28900,32333.0,1100.0,33162,1040,-60.0,-5.5,42.683307544421304,-121.6491645552137
"Bluefield, WV-VA Micro Area",14140,51047.0,808.0,49113,748,-60.0,-7.4,37.25083320214171,-81.35981908283462
"Gloversville, NY Micro Area",24100,28464.0,585.0,28199,525,-60.0,-10.3,43.11383190283379,-74.42190844526496
"Blackfoot, ID Micro Area",13940,15873.0,173.0,17528,110,-63.0,-36.4,43.21674390037855,-112.3976274563795
"Campbellsville, KY Micro Area",15820,10740.0,130.0,16499,65,-65.0,-50.0,37.313997455756166,-85.44267030163266
"Ketchikan, AK Micro Area",28540,6228.0,628.0,6698,562,-66.0,-10.5,55.58316881322699,-130.93500661151197
"Pahrump, NV Micro Area",37220,21322.0,285.0,25289,219,-66.0,-23.2,38.035794978103816,-116.46990981168196
"Batesville, AR Micro Area",12900,16032.0,406.0,16786,339,-67.0,-16.5,35.74165940463238,-91.57002443384745
"Centralia, IL Micro Area",16460,18345.0,338.0,17334,271,-67.0,-19.8,38.649451568976204,-88.91901267147837
"West Plains, MO Micro Area",48460,17860.0,313.0,18149,241,-72.0,-23.0,36.77374815287041,-91.88652503829532
"Susanville, CA Micro Area",45000,12726.0,346.0,12231,274,-72.0,-20.8,40.672516170103194,-120.59329771018325
"Minden, LA Micro Area",33380,19327.0,221.0,18377,147,-74.0,-33.5,32.712862048468295,-93.33471507664699
"Sikeston, MO Micro Area",43460,17118.0,275.0,22133,199,-76.0,-27.6,36.940623969270185,-89.42934328853028
"Fort Payne, AL Micro Area",22840,30706.0,209.0,30963,130,-79.0,-37.8,34.45972832879787,-85.8043609307825
"Beaver Dam, WI Micro Area",13180,36782.0,1306.0,38524,1223,-83.0,-6.4,43.41609007445476,-88.7074508789101
"Urbana, OH Micro Area",46500,16765.0,297.0,16944,214,-83.0,-27.9,40.1377399818199,-83.76950037251966
"Fremont, NE Micro Area",23340,16479.0,882.0,16725,797,-85.0,-9.6,41.57787496552596,-96.65431929874075
"Snyder, TX Micro Area",43660,7003.0,131.0,6881,45,-86.0,-65.6,32.74614147168688,-100.91636124340998
"Fallon, NV Micro Area",21980,10775.0,177.0,11008,91,-86.0,-48.6,39.58051619109976,-118.33607792187202
"Ponce, PR Metro Area",38660,92375.0,3883.0,133534,3796,-87.0,-2.2,18.066118982827774,-66.65852522312852
"Muskogee, OK Micro Area",34780,30880.0,1315.0,29349,1227,-88.0,-6.7,35.61634168311057,-95.3794883082467
"Yuma, AZ Metro Area",49740,86984.0,2574.0,95200,2485,-89.0,-3.5,32.76886882541379,-113.90603326319638
"Alamogordo, NM Micro Area",10460,30913.0,390.0,32645,300,-90.0,-23.1,32.61243939418611,-105.74047050730151
"Bartlesville, OK Micro Area",12780,23217.0,806.0,23741,716,-90.0,-11.2,36.71490078896164,-95.90436738691771
"Monroe, MI Metro Area",33780,62930.0,2253.0,66594,2160,-93.0,-4.1,41.92818574515347,-83.53818561573111
"Madisonville, KY Micro Area",31580,21199.0,180.0,21001,87,-93.0,-51.7,37.308084437084176,-87.54089440005485
"Ukiah, CA Micro Area",46380,39975.0,1373.0,41675,1279,-94.0,-6.8,39.43896480922576,-123.39102130841282
"Astoria, OR Micro Area",11820,21328.0,1237.0,23395,1140,-97.0,-7.8,45.99494675602601,-123.6557439710259
