REF_AREA,year,value,country
AUS,1970,56.29342604910917,Australia
AUS,1971,57.76476923136772,Australia
AUS,1972,58.77980495678505,Australia
AUS,1973,60.8732469742558,Australia
AUS,1974,61.78403107593827,Australia
AUS,1975,57.45479351395458,Australia
AUS,1976,57.146092283447025,Australia
AUS,1977,56.00444603433555,Australia
AUS,1978,53.3755728323142,Australia
AUS,1979,53.9409224707821,Australia
AUS,1980,54.85978334900378,Australia
AUS,1981,56.57282966603198,Australia
AUS,1982,52.96462106289965,Australia
AUS,1983,51.81924800078508,Australia
AUS,1984,53.193450781234404,Australia
AUS,1985,55.1618299714486,Australia
AUS,1986,55.11359611727822,Australia
AUS,1987,54.76949745308795,Australia
AUS,1988,61.545298400640505,Australia
AUS,1989,69.42611603292377,Australia
AUS,1990,65.52450680865718,Australia
AUS,1991,66.71142359409674,Australia
AUS,1992,65.78274811504858,Australia
AUS,1993,65.79592654984364,Australia
AUS,1994,65.10364821556101,Australia
AUS,1995,63.219962551450095,Australia
AUS,1996,60.585426173677504,Australia
AUS,1997,60.817185874492225,Australia
AUS,1998,64.50739261050028,Australia
AUS,1999,66.13560910190625,Australia
AUS,2000,67.82264671454108,Australia
AUS,2001,69.77711641015843,Australia
AUS,2002,81.27159911386445,Australia
AUS,2003,91.79245736113012,Australia
AUS,2004,91.23362890692002,Australia
AUS,2005,88.3655568681455,Australia
AUS,2006,89.82618109645998,Australia
AUS,2007,91.51114897168715,Australia
AUS,2008,88.76730273390685,Australia
AUS,2009,87.87681117508995,Australia
AUS,2010,94.34008537927575,Australia
AUS,2011,86.7151157936875,Australia
AUS,2012,85.22031098477648,Australia
AUS,2013,88.38985632880012,Australia
AUS,2014,93.05209297910456,Australia
AUS,2015,100.0,Australia
AUS,2016,105.134983011282,Australia
AUS,2017,112.44902863912026,Australia
AUS,2018,107.6246071417155,Australia
AUS,2019,100.72806044918968,Australia
AUS,2020,100.39977155460326,Australia
AUS,2021,112.29318186456975,Australia
AUS,2022,115.9155947156825,Australia
AUS,2023,117.2416190561725,Australia
AUS,2024,120.13723780375724,Australia
AUS,2025,119.37199702838775,Australia
AUT,2000,82.73718957335242,Austria
AUT,2001,82.92263742886198,Austria
AUT,2002,82.46338033605802,Austria
AUT,2003,79.81620372462618,Austria
